CommentID,Comment,CommentTime,UserID,UserName
4433590920088299,火箭的新闻又回来了。   不是马赛克队了,Thu Oct 31 22:58:30 +0800 2019,2396728823,没文化真可怕昵称都不可用
4433585236965372,嗯，我还以为火箭被封杀了，莫雷得意地笑,Thu Oct 31 22:35:55 +0800 2019,3833973758,晚青年
4433572411109080,不是不转播火箭吗？,Thu Oct 31 21:44:56 +0800 2019,3859347438,关键我叫蔡广杰
4433554664791511,火箭解封了，微博竟然能看了？[疑问],Thu Oct 31 20:34:25 +0800 2019,2815203912,jiaman_lan
4433548431518807,现在也只有在这里看到火箭的新闻，连竞彩篮球也不开售火箭的比赛。,Thu Oct 31 20:09:40 +0800 2019,1240978254,雷良壹
4433546410314866,回复@RS52770:起码腾讯还在抵制火箭队，我们也抵制火箭队，可惜了哈登威少,Thu Oct 31 20:01:38 +0800 2019,3967759703,時光太肤淺
4433546330271901,回复@時光太肤淺:说到底你不就是还想看nba才说只禁火箭队嘛，明明就是肖华也支持莫雷，你非要只抵制火箭,Thu Oct 31 20:01:19 +0800 2019,5518246582,RS52770
4433545986487075,回复@時光太肤淺:人家是暂停转播nba，你的出发点应该是抵制nba，不单单是抵制火箭队，人家肖华还没道歉呢,Thu Oct 31 19:59:56 +0800 2019,5518246582,RS52770
4433545353137873,回复@何必与寂寞去纠缠:还想看火箭队啊？吐口痰再走,Thu Oct 31 19:57:25 +0800 2019,2000100945,-林小威-
4433540001147383,回复@水石生工:既然暂停转播，也要暂停集锦，暂停支持火箭队！,Thu Oct 31 19:36:09 +0800 2019,3967759703,時光太肤淺
4433539523016469,回复@GL磊L:被个人爱好冲昏头脑的球迷啊，看看是赞我的多还是喷我的多？莫雷事件的火箭队绝不能因为时间的推移而淡化！抵制到底，直接央视复播！,Thu Oct 31 19:34:16 +0800 2019,3967759703,時光太肤淺
4433539057529320,垃圾火箭,Thu Oct 31 19:32:25 +0800 2019,2769490892,前泽龙舟队
4433538424102131,回复@GL磊L:中国的火箭球迷，劝劝你对得起你的头像，我的出发点就是要抵制莫雷的火箭队，不道歉没说法就不播！集锦也不行！,Thu Oct 31 19:29:53 +0800 2019,3967759703,時光太肤淺
4433535253065135,现在十佳球都是火箭被帽的球了，唉。,Thu Oct 31 19:17:18 +0800 2019,5683564867,张睿Clevel
