ID,Content,WeiboID,DateID,DateID-Day,NickName,UserID
25,#NBA新赛季2019##NBA最佳控球# 【最佳控球：欧文】花式杂耍！欧文背后运球过掉莫兰特，面对瓦兰一个漂亮的“拜佛”晃过对手上篮得分！http://t.cn/Ai1UqB0U可以免费看NBA http://t.cn/Ai1NquEw ​,4432698665705150	,2019-10-29-11,2019-10-29,亜博电竞直播体育竞猜APP,2101677724	
26,"#拉塞尔##德安吉洛拉塞尔# 
【今日集锦】D'Angleo Russell
34分钟24分7板8助
投篮21中9 三分11中3 罚球6中3
#nba吐槽大会# http://t.cn/Ai1WkYfP ​",4432698577384453	,2019-10-29-11,2019-10-29,等你进名人堂,6296662921	
27,#NBA周最佳#常规赛首周数据榜出炉！欧文位居总得分第一，詹姆斯、戴维斯、庄神分别位居总助攻、总封盖、总篮板首位，唐斯、塔图姆和佩顿则并列总抢断榜首！​​​​,4432698560569991	,2019-10-29-11,2019-10-29,NBA,1883881851	
28,"为什么NBA出事以后，在大家强烈的反对声下还是复播了，复播也就算了，还天天上热搜[费解]频率比以前还高，想吸引我们回去看呗？
抱歉，我现在一点都不想看NBA了[微笑]
#NBA##勇士赛季首胜# ​",4432698485816754	,2019-10-29-11,2019-10-29,老汪儿,5726762129	
29,"洛杉矶大火詹姆斯带家人撤离～遭到了美国键盘侠的冷嘲热讽[拜拜] 
喊话詹姆斯可以向我们中国大使馆求救！
其实如果你们求救的话我们中国大使馆还会顺带稍上你们的
必进大国还是有大量的不跟“小人”一般见识 ​​​[赞][赞][赞]
#nba吐槽大会##NBA新赛季2019# ​",4432698468292552	,2019-10-29-11,2019-10-29,Lovebet爱博篮球,5210047848	
30,#NBA零距离# 【双方互送大帽】普拉姆利封盖巴恩斯上篮，霍姆斯大帽蒙塔-莫里斯还以颜色。#掘金vs国王#  http://t.cn/Ai1WkaTL ​,4432698452434796	,2019-10-29-11,2019-10-29,NBA,1883881851	
31,"nba 29日菲尼克斯太阳 - 犹他爵士 第三节比分相差接近，看好了太阳主场，别让我担心
nba现场直播。
#nba比赛日# ​",4432698418560005	,2019-10-29-11,2019-10-29,霸气C罗姐,5221559506	
32,首页七个热搜五个NBA的 [费解][费解][费解] ​,4432698372009407	,2019-10-29-11,2019-10-29,今天你看少儿频道了吗,5586581703	
33,#勇士赛季首胜#接近一小时的超长篇中字纪录片[威武]回顾@金州勇士 2017年的夺冠之路🏆#NBA吐槽大会#http://t.cn/EKDeeim ​,4432698111843168	,2019-10-29-11,2019-10-29,微观篮球,5635855696	
34,@腾讯NBA 腾讯你飘了[微笑] ​,4432698078774552	,2019-10-29-11,2019-10-29,科技向阳,2628195645	
35,伦纳德，真香！[doge][doge][doge]  #伦纳德# #NBA吐槽大会#  http://t.cn/Ai1WDmat ​,4432698032206648	,2019-10-29-11,2019-10-29,NBA吐槽帝,2525046727	
36,发布了头条文章：《NBA东西部最新排名！森林狼三连胜霸榜，篮网遭绝杀，勇士惨败》  http://t.cn/Ai1WDnMT ​,4432698024128960	,2019-10-29-11,2019-10-29,吃货小黄鸭仔,2720794751	
37,"#NBA吐槽大会##萨克拉门托国王# 
第三节结束 掘金77-70国王
霍姆斯19分7板 福克斯15分2板5助 别利察9分2板3助 巴恩斯8分6板Bogi 6分5板6助 阿里扎9分5板2助

我王第三节又崩了[允悲][允悲][允悲] 
首胜怎么这么难啊 ​",4432698011170969	,2019-10-29-11,2019-10-29,MB3巴格利资讯,6439345041	
38,"今年都没有看我库，没有看NBA，终于赢了一场，Curry应该很累吧，应该也很开心叭。Curry最厉害，不接受反驳。
我真的很喜欢很喜欢他呢。
他真的真的很厉害呢。 ​",4432697935733765	,2019-10-29-11,2019-10-29,小安安安安an,5428979519	
39,xs 【某些】国人真的是嘴上功夫了得 嚷嚷抵制NBA抵制的结果就是热搜榜上数个关于NBA比赛的热搜。 ​,4432697793845434	,2019-10-29-11,2019-10-29,Snnmmk,6275127332	
40,"勇士终于赢球了，134-123战胜鹈鹕

#库里# 在31分钟的出场时间里砍下26分11助攻3抢断，不仅只出现了1次失误，命中率也重新回到生涯平均线。

此外，拉塞尔24分7篮板8助攻，格林16分17篮板10助攻

在没有杜兰特和汤普森的情况下，库里依然能带领球队赢得胜利。#金州勇士# #NBA# #篮球# #nba吐槽大会# ​",4432697667336998	,2019-10-29-11,2019-10-29,篮球ing进行时,1775615335	
41,保罗式小打大 http://t.cn/Ai1WDzGY ​,4432697566915902	,2019-10-29-11,2019-10-29,俄克拉荷马城雷霆球迷俱乐部,6228298461	
42,最好的扣篮和后仰！NBA2019—2020赛季第一部分  http://t.cn/Ai1WeFoO ​,4432697507783113	,2019-10-29-11,2019-10-29,BdotAdot5,5216373544	
